Date,Day,Status,In Time,Out Time,Total Hours,Total Attendance Hours,Total Time Sheet Hours,Attendance status implying leave debit
15-Mar-16,Tuesday,Present,7:42,19:01,11.32,11.32,NA,No leave debit
16-Mar-16,Wednesday,Present,7:30,18:07,10.62,10.62,NA,No leave debit
17-Mar-16,Thursday,Present,7:50,19:38,11.8,11.8,NA,No leave debit
18-Mar-16,Friday,Present,7:55,19:02,11.12,11.12,NA,No leave debit
19-Mar-16,Saturday,Weekly Off,10:20,12:12,1.87,1.87,NA,NA
20-Mar-16,Sunday,Weekly Off,10:38,15:22,4.73,4.73,NA,NA
21-Mar-16,Monday,Present,8:28,17:52,9.4,9.4,NA,No leave debit
22-Mar-16,Tuesday,Present,7:46,19:29,11.72,11.72,NA,No leave debit
23-Mar-16,Wednesday,Present,8:13,18:12,9.98,9.98,NA,No leave debit
24-Mar-16,Thursday,Present,9:57,21:28,11.52,11.52,NA,No leave debit
25-Mar-16,Friday,Optional Holiday,--,--,--,0,NA,NA
26-Mar-16,Saturday,Weekly Off,--,--,--,0,NA,NA
27-Mar-16,Sunday,Weekly Off,--,--,--,0,NA,NA
28-Mar-16,Monday,Present,10:23,17:45,7.37,7.37,NA,No leave debit
29-Mar-16,Tuesday,Present,8:06,19:58,11.87,11.87,NA,No leave debit
30-Mar-16,Wednesday,Present,8:55,18:14,9.32,9.32,NA,No leave debit
31-Mar-16,Thursday,Present,8:58,21:34,12.6,12.6,NA,No leave debit
