time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-07-02T05:07:45.000Z,0.9281,-26.9628,10,4.7,mb,,51,14.341,0.58,us,us100095u2,2017-07-02T05:36:20.040Z,"Central Mid-Atlantic Ridge",earthquake,11,1.9,0.08,47,reviewed,us,us
2017-07-02T01:58:27.110Z,27.2357,86.1117,10,4.9,mb,,108,5.412,0.89,us,us100095t8,2017-07-02T15:57:35.241Z,"10km SSE of Ramechhap, Nepal",earthquake,9.2,1.9,0.054,106,reviewed,us,us
2017-07-01T17:14:22.090Z,-3.8361,128.6091,125.39,4.6,mb,,47,3.745,0.82,us,us100095r8,2017-07-05T14:29:37.040Z,"30km S of Saparua, Indonesia",earthquake,6.6,7.5,0.076,55,reviewed,us,us
2017-07-01T16:56:44.920Z,-10.8122,-74.6709,49.94,4.6,mb,,79,2.428,1.12,us,us100095r2,2017-07-01T17:42:21.442Z,"48km N of Satipo, Peru",earthquake,3.8,13.4,0.122,20,reviewed,us,us
2017-07-01T14:45:53.500Z,42.8207,141.9875,34.88,5.2,mb,,83,1.182,1.03,us,us100095qp,2017-07-03T02:31:33.073Z,"27km E of Chitose, Japan",earthquake,5.8,4.9,0.067,73,reviewed,us,us
2017-07-01T07:01:14.720Z,23.8444,94.7018,90.76,4.6,mb,,80,0.53,1.24,us,us100095q4,2017-07-01T07:18:16.040Z,"37km NE of Mawlaik, Burma",earthquake,4.9,7,0.085,41,reviewed,us,us
2017-07-01T05:11:33.120Z,2.2179,127.2582,108.14,4.9,mb,,103,1.44,0.64,us,us100095ps,2017-07-01T05:28:27.040Z,"99km WNW of Tobelo, Indonesia",earthquake,8.1,6.8,0.075,55,reviewed,us,us
2017-07-01T04:52:45.340Z,-27.624,-176.8656,10,5.1,mb,,228,10.891,1.2,us,us100095pp,2017-07-01T05:12:24.040Z,"208km NNE of Raoul Island, New Zealand",earthquake,8.4,2,0.06,95,reviewed,us,us
2017-06-30T22:29:43.900Z,-0.328,-80.5125,5.96,6,mww,,27,1.906,0.83,us,us100095nr,2017-07-03T04:26:37.942Z,"31km NNW of Bahia de Caraquez, Ecuador",earthquake,5.7,2.7,0.048,42,reviewed,us,us
2017-06-30T21:36:47.400Z,-7.2422,128.1444,10,4.6,mb,,60,3.212,1.19,us,us100095ni,2017-07-01T21:54:59.040Z,"Kepulauan Barat Daya, Indonesia",earthquake,7.3,1.9,0.094,34,reviewed,us,us
2017-06-30T17:10:37.810Z,51.7897,94.0532,10,4.5,mb,,126,5.995,1.1,us,us100095lt,2017-07-01T14:32:06.040Z,"29km WNW of Kyzyl, Russia",earthquake,5.6,1.9,0.108,25,reviewed,us,us
2017-06-30T15:22:29.080Z,28.5773,128.6904,54.04,4.6,mb,,96,1.773,0.71,us,us100095lb,2017-06-30T18:11:38.040Z,"81km WNW of Naze, Japan",earthquake,8.3,5.6,0.098,31,reviewed,us,us
2017-06-30T14:04:02.150Z,25.4846,125.3726,99.6,5.2,mww,,83,2.37,1.3,us,us100095iw,2017-06-30T14:21:15.040Z,"76km N of Hirara, Japan",earthquake,5.3,7.5,,,reviewed,us,us
2017-06-30T13:33:44.340Z,58.9387,1.8602,10,4.8,mb,,59,4.031,1.19,us,us100095hh,2017-06-30T14:43:12.838Z,"178km WSW of Utsira, Norway",earthquake,7.9,1.9,0.082,46,reviewed,us,us
2017-06-30T13:01:00.810Z,13.4866,-90.9424,37.35,4.9,mb,,143,1.264,1.36,us,us100095hc,2017-07-02T00:09:35.579Z,"50km SSW of Puerto San Jose, Guatemala",earthquake,3.3,8.8,0.06,86,reviewed,us,us
2017-06-30T12:51:25.280Z,-21.439,-173.9103,10,4.9,mb,,94,4.416,0.81,us,us100095hb,2017-06-30T13:23:05.040Z,"108km E of `Ohonua, Tonga",earthquake,7.5,1.8,0.103,30,reviewed,us,us
2017-06-30T12:08:33.130Z,54.6313,-163.974,91.86,4.8,mb,,138,0.393,1.41,us,us100095h9,2017-06-30T16:03:10.681Z,"43km SW of False Pass, Alaska",earthquake,6.8,6.7,0.036,233,reviewed,us,us
2017-06-30T08:10:20.660Z,12.0905,140.5104,10,4.9,mb,,51,4.503,0.66,us,us100095h2,2017-06-30T08:28:34.040Z,"257km N of Fais, Micronesia",earthquake,11.1,1.9,0.082,47,reviewed,us,us
2017-06-30T01:34:58.270Z,33.7905,-38.5434,10,5.3,mb,,51,9.658,1,us,us100095ed,2017-06-30T21:32:16.205Z,"Northern Mid-Atlantic Ridge",earthquake,8.4,1.8,0.023,644,reviewed,us,us
2017-06-29T12:42:05.190Z,-4.5727,153.065,65.86,5.4,mb,,52,7.575,1.11,us,us1000959z,2017-06-29T16:42:57.040Z,"12km SSE of Taron, Papua New Guinea",earthquake,9.2,7.9,0.065,82,reviewed,us,us
2017-06-29T10:33:30.760Z,5.6933,125.6977,143.49,4.7,mb,,104,1.372,1.22,us,us1000958m,2017-07-02T12:55:47.507Z,"22km E of Kalbay, Philippines",earthquake,8.6,7.5,0.056,98,reviewed,us,us
2017-06-29T08:16:52.540Z,-34.723,-71.8493,41.03,4.5,mwr,,71,0.293,0.65,us,us1000955f,2017-06-30T02:50:55.534Z,"45km WSW of Santa Cruz, Chile",earthquake,2.4,6,0.053,34,reviewed,us,us
2017-06-29T07:03:10.490Z,-31.1009,179.9508,392.32,6,mww,,45,2.606,1.19,us,us1000954z,2017-06-29T15:59:05.040Z,"115km WNW of L'Esperance Rock, New Zealand",earthquake,7.1,5.4,,,reviewed,us,us
2017-06-29T06:52:49.140Z,28.7339,128.5076,18.2,4.7,mb,,93,3.238,0.74,us,us1000954x,2017-06-29T21:34:05.879Z,"103km WNW of Naze, Japan",earthquake,7.5,5.1,0.058,89,reviewed,us,us
